iteration,from,to,latency_ms,status
1,fs,sbs,203.1,ok
2,sbs,fs,196.3,ok
3,fs,sbs,196.9,ok
4,sbs,fs,196.9,ok
5,fs,sbs,197.2,ok
6,sbs,fs,196.5,ok
7,fs,sbs,195.8,ok
8,sbs,fs,196.6,ok
9,fs,sbs,196.1,ok
10,sbs,fs,195.9,ok
11,fs,sbs,197.2,ok
12,sbs,fs,196.3,ok
13,fs,sbs,196.6,ok
14,sbs,fs,197.2,ok
15,fs,sbs,197.1,ok
16,sbs,fs,196.2,ok
17,fs,sbs,196.8,ok
18,sbs,fs,198.0,ok
19,fs,sbs,194.9,ok
20,sbs,fs,196.8,ok
21,fs,sbs,196.8,ok
22,sbs,fs,196.4,ok
23,fs,sbs,195.7,ok
24,sbs,fs,196.8,ok
25,fs,sbs,196.8,ok
26,sbs,fs,197.8,ok
27,fs,sbs,196.0,ok
28,sbs,fs,197.3,ok
29,fs,sbs,195.8,ok
30,sbs,fs,197.7,ok
31,fs,sbs,194.9,ok
32,sbs,fs,196.3,ok
33,fs,sbs,197.3,ok
34,sbs,fs,197.7,ok
35,fs,sbs,195.7,ok
36,sbs,fs,196.1,ok
37,fs,sbs,197.1,ok
38,sbs,fs,196.0,ok
39,fs,sbs,195.9,ok
40,sbs,fs,176.9,ok
41,fs,sbs,196.8,ok
42,sbs,fs,194.9,ok
43,fs,sbs,197.2,ok
44,sbs,fs,196.1,ok
45,fs,sbs,196.4,ok
46,sbs,fs,196.9,ok
47,fs,sbs,196.9,ok
48,sbs,fs,177.0,ok
49,fs,sbs,196.8,ok
50,sbs,fs,197.3,ok
51,fs,sbs,196.0,ok
52,sbs,fs,196.3,ok
53,fs,sbs,196.5,ok
54,sbs,fs,196.1,ok
55,fs,sbs,196.8,ok
56,sbs,fs,197.1,ok
57,fs,sbs,196.3,ok
58,sbs,fs,196.2,ok
59,fs,sbs,196.1,ok
60,sbs,fs,195.8,ok
61,fs,sbs,196.0,ok
62,sbs,fs,196.0,ok
63,fs,sbs,197.3,ok
64,sbs,fs,195.1,ok
65,fs,sbs,196.2,ok
66,sbs,fs,196.1,ok
67,fs,sbs,196.8,ok
68,sbs,fs,196.3,ok
69,fs,sbs,196.1,ok
70,sbs,fs,198.6,ok
71,fs,sbs,195.9,ok
72,sbs,fs,197.3,ok
73,fs,sbs,196.5,ok
74,sbs,fs,197.6,ok
75,fs,sbs,195.0,ok
76,sbs,fs,195.8,ok
77,fs,sbs,196.6,ok
78,sbs,fs,196.4,ok
79,fs,sbs,196.5,ok
80,sbs,fs,195.8,ok
81,fs,sbs,197.2,ok
82,sbs,fs,196.4,ok
83,fs,sbs,196.7,ok
84,sbs,fs,197.3,ok
85,fs,sbs,197.1,ok
86,sbs,fs,197.5,ok
87,fs,sbs,196.6,ok
88,sbs,fs,197.8,ok
89,fs,sbs,195.3,ok
90,sbs,fs,196.5,ok
91,fs,sbs,196.0,ok
92,sbs,fs,196.3,ok
93,fs,sbs,196.0,ok
94,sbs,fs,197.6,ok
95,fs,sbs,197.7,ok
96,sbs,fs,196.6,ok
97,fs,sbs,196.4,ok
98,sbs,fs,196.1,ok
99,fs,sbs,195.9,ok
100,sbs,fs,196.9,ok
